id,name,zone,distance
62,Deepak,north,4364
29,Suresh,north,5524
70,Kapil,north,6551
85,Kamal,north,5017
98,Dhruv,north,4374
76,Rakesh,north,1350
90,Sandeep,north,5207
67,Gaurav,north,2727
49,Vikas,north,5807
84,Vikas,north,1565
91,Sharad,north,3219
45,Nitesh,north,2311
21,Kiran,north,5324
38,Ravi,north,3162
53,Amit,north,1072
58,Akash,north,9000
71,Omkar,north,9551
82,Arjun,north,6631
94,Rajesh,north,4505
90,Anuj,north,4162
46,Harshit,north,6850
1,Parth,north,2118
98,Rakesh,north,2420
22,Suresh,north,6011
26,Shivam,north,2612
65,Rajesh,north,4944
