id,name,zone,distance
53,Amit,north,1072
76,Rakesh,north,1350
84,Vikas,north,1565
1,Parth,north,2118
45,Nitesh,north,2311
98,Rakesh,north,2420
26,Shivam,north,2612
67,Gaurav,north,2727
38,Ravi,north,3162
91,Sharad,north,3219
90,Anuj,north,4162
62,Deepak,north,4364
98,Dhruv,north,4374
94,Rajesh,north,4505
65,Rajesh,north,4944
85,Kamal,north,5017
90,Sandeep,north,5207
21,Kiran,north,5324
29,Suresh,north,5524
49,Vikas,north,5807
22,Suresh,north,6011
70,Kapil,north,6551
82,Arjun,north,6631
46,Harshit,north,6850
58,Akash,north,9000
71,Omkar,north,9551
